concurrency,repetition,container,jobs_on_replica,samples,cpu_cores_n,cpu_cores_mean,cpu_cores_median,cpu_cores_sd,cpu_cores_cv,cpu_cores_sem,cpu_cores_ci95_lo,cpu_cores_ci95_hi,cpu_cores_p25,cpu_cores_p75,cpu_cores_iqr,cpu_cores_p90,cpu_cores_p95,cpu_cores_min,cpu_cores_max,ram_GiB_n,ram_GiB_mean,ram_GiB_median,ram_GiB_sd,ram_GiB_cv,ram_GiB_sem,ram_GiB_ci95_lo,ram_GiB_ci95_hi,ram_GiB_p25,ram_GiB_p75,ram_GiB_iqr,ram_GiB_p90,ram_GiB_p95,ram_GiB_min,ram_GiB_max
2,1,whisperx-1,1,3,3,1.19,1.21,0.06,0.0476,0.03,1.05,1.33,1.17,1.22,0.05,1.23,1.23,1.13,1.23,3,3.95,3.95,0.0,0.0,0.0,3.95,3.95,3.95,3.95,0.0,3.95,3.95,3.95,3.95
2,1,whisperx-gateway,0,3,3,0.0,0.0,0.0,0.0769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,whisperx-0,1,3,3,1.69,1.56,0.54,0.3189,0.31,0.35,3.03,1.4,1.92,0.53,2.14,2.21,1.24,2.29,3,2.41,2.42,0.02,0.0091,0.01,2.36,2.47,2.41,2.42,0.02,2.42,2.42,2.39,2.42
2,2,whisperx-1,1,3,3,1.67,1.48,0.57,0.3434,0.33,0.24,3.09,1.34,1.89,0.55,2.14,2.22,1.21,2.31,3,3.95,3.95,0.0,0.0,0.0,3.95,3.95,3.95,3.95,0.0,3.95,3.95,3.95,3.95
2,2,whisperx-gateway,0,3,3,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3,whisperx-0,1,4,4,1.15,1.16,0.06,0.0533,0.03,1.05,1.25,1.12,1.19,0.08,1.2,1.2,1.07,1.21,4,2.42,2.41,0.05,0.0187,0.02,2.35,2.49,2.39,2.44,0.05,2.47,2.48,2.39,2.48
2,3,whisperx-1,1,4,4,1.28,1.2,0.22,0.1727,0.11,0.93,1.64,1.15,1.33,0.17,1.5,1.55,1.13,1.61,4,3.95,3.95,0.0,0.0001,0.0,3.95,3.96,3.95,3.95,0.0,3.95,3.95,3.95,3.96
2,3,whisperx-gateway,0,4,4,0.06,0.0,0.11,1.9512,0.06,-0.12,0.24,0.0,0.06,0.06,0.16,0.19,0.0,0.23,4,0.0,0.0,0.0,0.0178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4,whisperx-0,1,3,3,1.13,1.11,0.13,0.1145,0.07,0.81,1.45,1.06,1.19,0.13,1.23,1.25,1.01,1.27,3,2.42,2.39,0.05,0.0227,0.03,2.28,2.56,2.39,2.44,0.05,2.46,2.47,2.39,2.48
2,4,whisperx-1,1,3,3,1.11,1.09,0.11,0.1011,0.06,0.83,1.39,1.05,1.16,0.11,1.2,1.22,1.01,1.23,3,3.96,3.96,0.0,0.0,0.0,3.96,3.96,3.96,3.96,0.0,3.96,3.96,3.96,3.96
2,4,whisperx-gateway,0,3,3,0.0,0.0,0.0,1.7321,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,5,whisperx-0,1,3,3,1.61,1.48,0.47,0.2944,0.27,0.43,2.79,1.35,1.81,0.46,2.0,2.07,1.21,2.13,3,2.41,2.41,0.02,0.0081,0.01,2.36,2.46,2.4,2.42,0.02,2.42,2.43,2.39,2.43
2,5,whisperx-1,1,3,3,1.63,1.45,0.5,0.3091,0.29,0.38,2.88,1.35,1.83,0.48,2.05,2.12,1.24,2.2,3,3.96,3.96,0.0,0.0,0.0,3.96,3.96,3.96,3.96,0.0,3.96,3.96,3.96,3.96
2,5,whisperx-gateway,0,3,3,0.0,0.0,0.0,1.7321,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,whisperx-0,1,6,6,0.72,0.64,0.79,1.0936,0.32,-0.11,1.55,0.02,1.23,1.21,1.51,1.65,0.0,1.79,6,2.39,2.38,0.03,0.0134,0.01,2.36,2.42,2.36,2.42,0.06,2.43,2.43,2.36,2.43
3,1,whisperx-1,2,6,6,1.09,1.21,0.39,0.3571,0.16,0.68,1.5,1.12,1.24,0.12,1.35,1.41,0.34,1.46,6,3.96,3.96,0.0,0.0,0.0,3.96,3.96,3.96,3.96,0.0,3.96,3.96,3.96,3.96
3,1,whisperx-gateway,0,6,6,0.05,0.0,0.12,2.3715,0.05,-0.07,0.18,0.0,0.0,0.0,0.15,0.22,0.0,0.29,6,0.0,0.0,0.0,0.0032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,whisperx-0,1,6,6,0.75,0.86,0.65,0.868,0.27,0.07,1.44,0.16,1.18,1.02,1.39,1.48,0.0,1.58,6,2.38,2.38,0.03,0.0112,0.01,2.35,2.41,2.36,2.39,0.03,2.41,2.42,2.36,2.43
